country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,event_date
Serbia,Europe,2615060,6,18057,0,2596608,389,0,13463739,8653016,302213.0,2087.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Malawi,Africa,89550,15,2686,0,0,86849,0,624791,20180839,4437.0,133.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Sri Lanka,Asia,672760,6,16897,0,655852,5,0,6486132,21575842,31181.0,783.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Venezuela,South America,552718,23,5856,0,546537,302,31,3359037,29266991,18885.0,200.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Lithuania,Europe,1397807,1,9897,0,1387478,431,0,10540360,2661708,525154.0,3718.0,1755946217304,2025-08-23 18:50:17,2025-08-23
UAE,Asia,1067030,0,2349,0,0,1064681,0,200732266,10081785,105837.0,233.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Haiti,North America,34671,4,860,0,33734,73,0,132433,11680283,2968.0,74.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Colombia,South America,6400207,34,143201,1,6212152,44821,342,36951521,51512762,124244.0,2780.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Israel,Asia,4841772,0,12707,0,4798473,30592,0,41373373,9326000,519169.0,1363.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Iraq,Asia,2465566,21,25375,0,2439497,673,0,19544470,42164965,58474.0,602.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Namibia,Africa,172389,0,4106,0,167099,1184,0,1062663,2633874,65451.0,1559.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Azerbaijan,Asia,835240,6,10400,0,824089,745,0,7748051,10300205,81089.0,1010.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Micronesia,Australia-Oceania,26547,0,65,0,0,26482,0,82430,117489,225953.0,553.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Singapore,Asia,3006159,4,2024,0,3004131,0,4,24756673,5943546,505785.0,341.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Nepal,Asia,1003472,22,12031,0,991322,97,0,6047774,30225582,33199.0,398.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Saint Martin,North America,12325,1,63,0,0,12261,0,112382,39730,310194.0,1586.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Bangladesh,Asia,2049428,51,29493,0,0,2019884,0,15254493,167885689,12207.0,176.0,1755946217304,2025-08-23 18:50:17,2025-08-23
