country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,updated_ts,cases_per_million,deaths_per_million,tests_per_thousand,ingest_time,source_system,event_date
Afghanistan,Asia,234179,5,7996,0,211080,15098,0,1390742,40754388,5746.0,196.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,5746.11,196.2,34.12,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Fiji,Australia-Oceania,69117,0,885,0,67226,1006,0,672883,909466,75997.0,973.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,75997.34,973.1,739.87,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Micronesia,Australia-Oceania,26547,0,65,0,0,26482,0,82430,117489,225953.0,553.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,225953.07,553.24,701.6,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Saudi Arabia,Asia,841475,6,9646,0,0,831823,0,45481758,35844909,23475.0,269.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,23475.44,269.1,1268.85,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Senegal,Africa,89059,6,1971,0,87024,58,0,1146557,17653671,5044.0,112.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,5044.79,111.65,64.95,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Botswana,Africa,330639,1,2801,0,327049,788,1,2026899,2441162,135443.0,1147.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,135443.28,1147.4,830.3,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Israel,Asia,4841772,0,12707,0,4798473,30592,0,41373373,9326000,519169.0,1363.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,519169.2,1362.53,4436.35,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Maldives,Asia,186695,1,316,0,163687,22691,25,2213832,540985,345100.0,584.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,345101.99,584.12,4092.22,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Montenegro,Europe,296542,0,2846,0,291794,1902,0,2769281,627950,472238.0,4532.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,472238.24,4532.21,4410.03,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Switzerland,Europe,4453057,4,14452,0,4438309,292,0,23833473,8773637,507549.0,1647.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,507549.72,1647.21,2716.49,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Italy,Europe,26723278,29,196488,1,26361218,165544,22,281126492,60262770,443445.0,3261.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,443445.9,3260.52,4665.01,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Malawi,Africa,89550,15,2686,0,0,86849,0,624791,20180839,4437.0,133.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,4437.38,133.1,30.96,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Saint Lucia,North America,30216,1,410,0,29805,0,0,210983,185113,163225.0,2215.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,163230.03,2214.86,1139.75,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Saint Vincent And The Grenadines,North America,9675,1,124,0,9493,57,0,114198,111551,86723.0,1112.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,86731.63,1111.6,1023.73,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Andorra,Europe,48016,1,165,0,0,47850,0,249838,77463,619844.0,2130.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,619857.22,2130.05,3225.26,2025-08-23 18:53:13.025,disease.sh,2025-08-23
