country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,updated_ts,cases_per_million,deaths_per_million,tests_per_thousand,ingest_time,source_system,event_date
Macao,Asia,27673,0,123,0,3487,24063,0,7851,667490,41458.0,184.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,41458.3,184.27,11.76,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Solomon Islands,Australia-Oceania,25954,0,199,0,0,25755,0,0,721159,35989.0,276.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,35989.29,275.94,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Holy See (vatican City State),Europe,30,1,0,0,29,0,0,0,799,36295.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,37546.93,0.0,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
French Polynesia,Australia-Oceania,79254,0,650,0,0,78604,0,1,284164,278902.0,2287.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,278902.32,2287.41,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Marshall Islands,Australia-Oceania,16138,0,17,0,16121,0,0,1,60057,268711.0,283.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,268711.39,283.06,0.02,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Kiribati,Australia-Oceania,5085,0,24,0,2703,2358,3,0,123419,41201.0,194.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,41201.11,194.46,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Tokelau,Australia-Oceania,80,0,0,0,0,80,0,1,1378,58055.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,58055.15,0.0,0.73,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Tuvalu,Australia-Oceania,2944,1,1,0,0,2942,0,0,12066,243909.0,83.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,243991.38,82.88,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Nicaragua,North America,18492,1,225,0,4225,14041,0,5,6779100,2728.0,33.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,2727.8,33.19,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Niue,Australia-Oceania,1060,1,0,0,1056,3,0,1,1622,652898.0,0.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,653514.18,0.0,0.62,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Western Sahara,Africa,11,1,1,0,9,0,0,0,626161,16.0,2.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,17.57,1.6,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Saint Helena,Africa,2167,1,0,0,2,2164,0,1,6115,354211.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,354374.49,0.0,0.16,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Seychelles,Africa,51221,1,172,0,51048,0,0,0,99426,515157.0,1730.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,515167.06,1729.93,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Tajikistan,Asia,17787,1,125,0,17264,397,0,5,9957464,1786.0,13.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,1786.3,12.55,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Tanzania,Africa,43255,32,846,0,0,42377,0,3,63298550,683.0,13.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,683.35,13.37,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Algeria,Africa,272043,33,6881,0,183061,82068,0,230981,45350148,5998.0,152.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,5998.72,151.73,5.09,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Comoros,Africa,9110,1,161,0,8939,9,0,0,907419,10038.0,177.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,10039.46,177.43,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
N. Korea,Asia,4772814,1,74,0,4772739,0,0,12,25990679,183636.0,3.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,183635.6,2.85,0.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
S. Korea,Asia,34571913,40,35935,1,34535939,0,0,15804089,51329899,673523.0,700.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,673523.89,700.08,307.89,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Diamond Princess,,712,0,13,0,699,0,0,0,0,0.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,,,,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Ms Zaandam,,10,1,2,0,7,0,0,1,0,0.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,,,,2025-08-23 18:53:13.025,disease.sh,2025-08-23
