country,population,active,tests_per_million,tests_total,cases_total,cases_per_million,tests_per_case,tests_per_active_case,positivity_est,active_per_million,tpm_over_cpm,priority_tier
Bangladesh,167885689,2019884,90860.0,15254493,2049428,12207.28,7.443292957839944,7.552162896483164,0.13434913897171147,12031.30541996346,7.443099527495068,MEDIUM
Brazil,215353593,1783377,296150.0,63776340,38743964,179908.6,1.6460974411394766,35.76155798801936,0.6074974512491623,8281.157398660165,1.6461136377027001,HIGH
Morocco,37772756,1262689,344190.0,13001065,1279012,33860.7,10.1649280851157,10.296331875861751,0.09837747907575264,33428.5642276142,10.164881411193509,MEDIUM
Tunisia,12046656,1123938,416160.0,5013384,1153366,95741.59,4.346741624081168,4.460552094510551,0.23005738239879492,93298.75444272667,4.3467003211457005,HIGH
Paraguay,7305843,817447,363750.0,2657512,837602,114648.23,3.1727622426880546,3.25098997243858,0.3151827724578478,111889.4835270892,3.172748502092008,HIGH
Mexico,131562772,467986,152120.0,20013937,7702903,58549.26,2.598233029807074,42.76610197740958,0.38487694849843884,3557.1308880600354,2.5981541013498717,HIGH
Honduras,10221247,463425,162470.0,1660672,474595,46432.2,3.4991350519916984,3.5834752117386848,0.2857849111684908,45339.37982322509,3.499080379564182,HIGH
Lao People's Democratic Republic,7481023,218212,164850.0,1233214,218971,29270.19,5.631859926656954,5.6514490495481455,0.17756123430321097,29168.738018851167,5.632009904957911,HIGH
Jamaica,2985094,153113,396630.0,1183988,156870,52551.11,7.547574424682859,7.732772527479704,0.13249289688746846,51292.5221115315,7.547509462692605,MEDIUM
China,1448471400,118977,110460.0,160000639,504440,348.26,317.1846780588375,1344.8031048017683,0.003152737408754974,82.13969568194443,317.17682191466145,LOW
Malawi,20180839,86849,30960.0,624791,89550,4437.38,6.977007258514797,7.193991870948428,0.1433279288594106,4303.537627945003,6.977090084689614,MEDIUM
Suriname,596831,81180,405820.0,242208,82588,138377.53,2.9327263040635443,2.983592017738359,0.3409796538512353,136018.40386977218,2.932701573730937,HIGH
New Caledonia,290915,79750,340180.0,98964,80064,275214.41,1.2360611510791366,1.2409278996865203,0.8090214623499454,274135.0566316621,1.236054463863284,HIGH
Uganda,48432863,68086,62200.0,3012444,172157,3554.55,17.49823707429846,44.244690538436686,0.05714861421490325,1405.7810292982267,17.498698850768733,LOW
South Africa,60756135,61362,441030.0,26795118,4076475,67095.69,6.5731098559417145,436.6728268309377,0.15213498966490835,1009.9720793628494,6.573149482477936,HIGH
